module,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
5,Human Diseases,Infectious disease: viral,hsa05164,Influenza A,19/308,173/9512,0.10982658959537572,3.391787403348097,5.807585098626492,3.052073571284912e-6,4.2583693161260915e-5,2.707854747455787e-5,3553/637/834/6352/8772/51135/6773/5604/208/836/5610/581/10000/10241/841/4790/7706/7124/57506,19
5,Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,17/308,144/9512,0.11805555555555555,3.6459235209235206,5.852416634860403,3.8073402450468186e-6,4.9755908881333944e-5,3.163928820548269e-5,3553/717/929/3929/8772/51135/208/836/5608/727/10000/2921/841/4790/2308/3654/7124,17
5,Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,26/308,298/9512,0.087248322147651,2.6945001307417416,5.436579946608831,3.905753939490378e-6,4.9755908881333944e-5,3.163928820548269e-5,959/3553/5473/5196/6352/58191/6362/6361/3574/6364/10344/2921/3559/1489/6373/56477/6348/3625/6374/10913/8741/6357/10673/8742/6356/7124,26
5,Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,13/308,91/9512,0.14285714285714285,4.411873840445269,5.982260248814307,6.604939560833833e-6,8.063530380517972e-5,5.1275188695946875e-5,353514/4067/5604/5534/208/5777/10000/27071/4794/55024/4790/3636/10451,13
5,Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,10/308,56/9512,0.17857142857142858,5.5148423005565865,6.198448699959931,1.0389553227811753e-5,1.2060540562841499e-4,7.669177940086026e-5,3553/834/929/3303/836/840/2921/841/4790/7124,10
5,Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,13/308,95/9512,0.1368421052631579,4.226110731373889,5.780759896213224,1.0702186164978803e-5,1.2060540562841499e-4,7.669177940086026e-5,3553/284/6352/6364/2921/4312/54/6348/6374/8741/10673/9550/7124,13
5,Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,19/308,196/9512,0.09693877551020408,2.9937715345878613,5.15927682668021,1.885033583369923e-5,1.969613948892763e-4,1.2524579448680405e-4,637/5155/4067/8772/6773/5604/5534/208/836/5610/5608/581/6714/10000/2921/3708/841/4790/9261,19
5,Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,12/308,86/9512,0.13953488372093023,4.309272123225611,5.639208249681297,1.914469144523066e-5,1.969613948892763e-4,1.2524579448680405e-4,2069/1950/5604/1399/8440/208/6777/6714/10000/1978/10298/685,12
5,Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,20/308,214/9512,0.09345794392523364,2.886272605898774,5.105246513738285,1.9494472531703114e-5,1.969613948892763e-4,1.2524579448680405e-4,637/8772/51135/5604/5534/1399/598/208/836/5608/581/684/10000/3708/841/4790/567/10298/3654/7124,20
5,Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,18/308,182/9512,0.0989010989010989,3.05437419723134,5.118875512390703,2.3875862549527728e-5,2.2937254641996763e-4,1.4585572378780055e-4,3553/637/929/3929/8772/51135/5534/208/836/581/6714/10000/841/4790/23365/843/3654/7124,18
5,Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,12/308,88/9512,0.13636363636363635,4.211334120425029,5.5361689489327,2.4268085116105792e-5,2.2937254641996763e-4,1.4585572378780055e-4,2243/81494/710/5270/717/2149/725/2160/727/732/966/715,12
5,Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,19/308,203/9512,0.09359605911330049,2.8905380333951762,4.980604615622875,3.087353160903078e-5,2.8268577379518805e-4,1.7975707548679106e-4,3553/3059/2149/834/8772/51135/9138/8440/836/840/5777/581/6714/841/4790/23365/3654/8936/7124,19
5,Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,19/308,204/9512,0.09313725490196079,2.876368729309906,4.955702501090927,3.305976997782674e-5,2.935306849546435e-4,1.8665324676476344e-4,4318/6385/3059/10855/4659/5604/9138/208/836/6237/5777/6714/1975/10000/3708/5501/23365/10451/7124,19
5,Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,14/308,122/9512,0.11475409836065574,3.5439642324888228,5.173188032744916,3.7919211237157676e-5,3.2677437919079996e-4,2.077925817020715e-4,959/27040/5604/5534/8440/208/5777/9402/10000/4794/4790/10451/10298/7124,14
5,Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,18/308,189/9512,0.09523809523809523,2.9412492269635124,4.930994292640448,3.965494506847226e-5,3.319685401446392e-4,2.110954970562283e-4,3553/834/6352/8772/51135/6773/55054/598/55914/10910/2921/5330/3708/2633/841/4790/7124/57506,18
5,Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,11/308,80/9512,0.1375,4.246428571428572,5.3339518802139825,4.8989778370234635e-5,3.987223628466319e-4,2.5354358981086346e-4,5155/1950/5154/5604/598/208/1977/581/6714/10000/1978,11
