protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
SMAD1,fid_23495,10125,0.28973876198103377,4.945441652379525e-195,6.492471070574374e-193,0.28515010269517116,1.0523634953753178e-188,1.0757564125681621e-186,+,0.28973876198103377,Concentration of Large VLDL Particles
NRP1,fid_23571,10345,-0.2867599289438643,5.148590743667556e-195,6.757950144619164e-193,-0.28153784903814055,9.342204280902221e-188,9.455581303234905e-186,-,0.2867599289438643,Triglycerides in Medium HDL
OXT,fid_23595,10430,-0.2856268342845708,5.338781847578437e-195,7.006328120767168e-193,-0.2751017069380405,1.7710770023672562e-180,1.6374970292199605e-178,-,0.2856268342845708,Cholesterol to Total Lipids in Medium VLDL percentage
CRIP2,fid_23489,10264,0.2878263620342525,5.405034771751574e-195,7.090717813301429e-193,0.324316737213355,5.4628490654930714e-250,1.1454938193000938e-247,+,0.2878263620342525,Total Lipids in Very Large VLDL
F7,fid_23502,10318,0.2871040860262998,5.404150636084732e-195,7.090717813301429e-193,0.28956193275062525,1.8455607866633946e-198,2.1100360833723823e-196,+,0.2871040860262998,Concentration of Medium VLDL Particles
TNFRSF10A,fid_23623,10264,0.2877855401846349,6.165239357736491e-195,8.083638382315397e-193,0.28080574109796014,2.6421878199329635e-185,2.589276470201089e-183,+,0.2877855401846349,Triglycerides to Total Lipids in Medium LDL percentage
ADAMTS15,fid_23407,10318,0.2870586246272996,6.2592059462661904e-195,8.205365789360739e-193,0.325833401857907,9.14617638121658e-254,2.0141706859339547e-251,+,0.2870586246272996,Total Triglycerides
AGR3,fid_23447,10110,0.2898605340371347,6.468841554970864e-195,8.478655758022294e-193,0.3029254364907334,1.4274565305860892e-213,1.950331151280048e-211,+,0.2898605340371347,Monounsaturated Fatty Acids
IL16,fid_23493,10432,0.2855362220049798,6.579645496727412e-195,8.622332810490857e-193,0.30988551796739733,5.582358406682431e-231,9.308112650768509e-229,+,0.2855362220049798,Free Cholesterol in Very Large VLDL
IFNGR1,fid_23478,9878,0.2930848610710807,6.715513311382295e-195,8.798797312121408e-193,0.26389655649864824,4.766457900112259e-157,3.2220272629934107e-155,+,0.2930848610710807,Creatinine
ADAMTS15,fid_23408,10318,0.2870259726879313,6.955516146215664e-195,9.111613481194578e-193,0.32513281253508264,1.2730404935643955e-252,2.7575989384211112e-250,+,0.2870259726879313,Triglycerides in VLDL
MXRA8,fid_23430,9676,0.29595756016988756,7.492322303827107e-195,9.807759829905703e-193,0.2971330134321047,1.850136216025311e-196,2.0729357938747752e-194,+,0.29595756016988756,Concentration of HDL Particles
IGFBP4,fid_23480,10251,0.28789382661120033,7.635528451674791e-195,9.993425222796453e-193,0.2844584230430352,4.512343934683922e-190,4.686366650897823e-188,+,0.28789382661120033,Glycoprotein Acetyls
CREG1,fid_23443,10201,-0.2885644337863275,7.736678263465515e-195,1.0123990166241129e-192,-0.3023963828064158,1.0769425805835643e-214,1.493005500187417e-212,-,0.2885644337863275,Degree of Unsaturation
KYNU,fid_23407,10432,0.28545231853839326,8.638980857063917e-195,1.1298622677905227e-192,0.28565586061449955,4.4617369892005476e-195,4.920261587331616e-193,+,0.28545231853839326,Total Triglycerides
DSG2,fid_23435,10341,-0.28664275674741146,8.929601570379956e-195,1.1676617179599232e-192,-0.28672844677748865,6.768912012082715e-195,7.447614396096941e-193,-,0.28664275674741146,Triglycerides to Phosphoglycerides ratio
ERBB2,fid_23407,10379,0.28610237728089666,1.0071665354498009e-194,1.316291969827298e-192,0.277763883234506,3.3553802141757453e-183,3.2019618659274814e-181,+,0.28610237728089666,Total Triglycerides
PAMR1,fid_23412,10349,0.2864915289027273,1.033040142473923e-194,1.3498644663848616e-192,0.28388482076710686,4.5125585072253525e-191,4.7372882167002836e-189,+,0.2864915289027273,Phospholipids in VLDL
AGRP,fid_23512,10432,0.2853623531301899,1.156701569323082e-194,1.510367120731451e-192,0.2700866621498415,8.157038922544078e-174,6.915449234570168e-172,+,0.2853623531301899,Cholesterol in Small VLDL
