dataset,feature,beta_sex,p_sex,q_sex,p_age,q_age,R2
metabolome,fid_23461,0.008735905492249427,2.0735530283408288e-8,2.4822822310426265e-8,7.933677885032427e-9,1.0507903156239756e-8,0.00689607903697953
metabolome,fid_23462,-0.041273170728823576,8.45407026540366e-251,5.689360800231112e-250,4.2738355010250825e-8,5.5426304153919036e-8,0.11089078655874596
metabolome,fid_23480,-0.004495341215931018,0.04660348191329021,0.05089590787898799,1.707653108691035e-27,7.206874984136741e-27,0.01289748997708795
metabolome,fid_23406,-0.2678324154965923,0,0,5.409569422411987e-6,6.507163218263694e-6,0.1839934289083105
metabolome,fid_23463,0.0019522720662133255,1.887395159690061e-23,2.7483122500750014e-23,8.253773599668057e-15,1.352098438366675e-14,0.016010305899325727
metabolome,fid_23465,0.006961399022697276,4.6393740855098354e-88,1.0501855884472263e-87,0.2898001414544665,0.29214670130430026,0.038349127381223314
metabolome,fid_23405,-0.09437875857970134,5.831481650453396e-28,8.747222475680094e-28,1.5786081240554972e-26,5.696716273765491e-26,0.02472086479397939
metabolome,fid_23471,0.15172474113270354,7.241313152467886e-13,9.246599871612839e-13,0.9342333074258901,0.9342333074258901,0.005075188824452126
metabolome,fid_23466,0.01542749679504316,3.2952448025778336e-177,1.6088548153762366e-176,0.007633128191406393,0.008122431280599111,0.07674973861295642
metabolome,fid_23449,-0.22467294699924475,1.3317427525066769e-62,2.5313278272836835e-62,2.5997964486336087e-18,4.7951801163686564e-18,0.036439349627427564
metabolome,fid_23456,-0.8606010641123,3.8692362403029445e-38,6.097720404021728e-38,3.9940607364627365e-75,4.972605616896107e-73,0.04954261294796225
metabolome,fid_23447,0.05174742742627177,8.397675639274636e-4,9.591840523758644e-4,2.217587668779408e-24,6.0019492339790496e-24,0.012037813148931487
metabolome,fid_23454,1.2231915892747995,6.934096995310924e-126,2.1855571542182532e-125,1.6483622577585786e-10,2.3320579669425346e-10,0.059107557412530154
metabolome,fid_23444,-0.06825633924771296,2.4898641014725026e-57,4.5586482446077436e-57,1.3680150109592331e-89,3.4063573772884903e-87,0.0631012978132447
metabolome,fid_23451,-0.40465996491176015,5.078777515120954e-41,8.319839482007352e-41,3.5836378500106545e-72,2.974419415508843e-70,0.0486643972666736
metabolome,fid_23445,-0.2709646035763654,1.7810343641617642e-92,4.305607346371643e-92,3.364871393081984e-23,7.979552160737276e-23,0.0516209636303987
metabolome,fid_23459,0.6887763475281677,1.0909577424884817e-14,1.4297288309454314e-14,2.8076292538943132e-67,1.74774921054921e-65,0.03570192573468467
metabolome,fid_23452,-0.895357346457503,3.5716163446852255e-38,5.664538024373383e-38,3.308371630795001e-66,1.6475690721359105e-64,0.04532785488643265
metabolome,fid_23468,0.001443877174317221,2.368926726489963e-9,2.9057278566305456e-9,7.368201434843228e-4,8.154142921226506e-4,0.00522611121360228
metabolome,fid_23437,-0.2557139054852925,7.299500919540155e-290,6.267502513674133e-289,2.1700627024849236e-35,1.6374109482386242e-34,0.13688370144844242
metabolome,fid_23434,-0.25231193471444746,3.567074710738503e-250,2.3373726394049665e-249,1.1638226456042216e-37,1.3799611369307199e-36,0.12205306323600051
metabolome,fid_23483,0.012848941521568855,4.430550287458035e-101,1.1991380669315766e-100,1.2898704540895531e-5,1.5221693984279562e-5,0.04608470755887717
