protein,metabolite,metabolite_label,r,q,r_s,q_s,sign,abs_r
MENT,fid_23641,Cholesteryl Esters to Total Lipids in Medium HDL percentage,0.28853374782778274,6.831025009298365e-192,0.2818334839198148,7.673614701002112e-183,+,0.28853374782778274
SEMA3F,fid_23641,Cholesteryl Esters to Total Lipids in Medium HDL percentage,-0.28851453228722196,7.262974829404664e-192,-0.288875012619615,1.8924309901655902e-192,-,0.28851453228722196
VMO1,fid_23408,Triglycerides in VLDL,0.2885142680440374,7.267832457084364e-192,0.3279507154851314,5.542237083706117e-251,+,0.2885142680440374
SEMA3F,fid_23639,Phospholipids to Total Lipids in Medium HDL percentage,0.2885028049322867,7.538038405720065e-192,0.28758416158853684,1.1429246770672879e-190,+,0.2885028049322867
VMO1,fid_23452,Omega-6 Fatty Acids to Total Fatty Acids percentage,-0.2884710043235598,8.343934901267166e-192,-0.32206101630982714,1.3946686160412351e-241,-,0.2884710043235598
GSTA1,fid_23554,Cholesterol in Very Large HDL,-0.288461427271566,8.602031209539128e-192,-0.32035368693578736,6.739443964913616e-239,-,0.288461427271566
CFH,fid_23420,Free Cholesterol in VLDL,0.28845816511408995,8.690739360739984e-192,0.29841637830981277,6.389319046370886e-206,+,0.28845816511408995
SERPIND1,fid_23456,Linoleic Acid to Total Fatty Acids percentage,-0.2884411284747575,9.17592912374098e-192,-0.29117689213310144,1.1872382470760004e-195,-,0.2884411284747575
APOC1,fid_23541,Cholesteryl Esters in Medium LDL,0.28842463731124274,9.671279921476043e-192,0.31968170593883743,7.613536941719819e-238,+,0.28842463731124274
IGFBP4,fid_23443,Degree of Unsaturation,-0.2884236906390407,9.698896518216376e-192,-0.292243463389704,3.8000161916834386e-197,-,0.2884236906390407
KRT18,fid_23578,Triglycerides in Small HDL,0.2883911736683502,1.0760085725191267e-191,0.29658995700422924,2.6676500877353543e-203,+,0.2883911736683502
PON3,fid_23586,Cholesteryl Esters to Total Lipids in Very Large VLDL percentage,0.2883896676708304,1.081012879553738e-191,0.3623759616774486,2.85035203943716e-293,+,0.2883896676708304
SERPINA5,fid_23483,Phospholipids in Chylomicrons and Extremely Large VLDL,0.2883849225664751,1.0973499492977836e-191,0.3297368684767888,7.087356389890728e-254,+,0.2883849225664751
SMAD1,fid_23490,Phospholipids in Very Large VLDL,0.2883794110140413,1.1166675234743989e-191,0.28439403860617307,2.643381224386643e-186,+,0.2883794110140413
SMAD1,fid_23495,Concentration of Large VLDL Particles,0.2883624289703151,1.1787829875823763e-191,0.2847850838559768,7.76965488128908e-187,+,0.2883624289703151
CNTN3,fid_23481,Concentration of Chylomicrons and Extremely Large VLDL Particles,0.28834091166891346,1.2625267740166723e-191,0.295758750892568,4.089458674710738e-202,+,0.28834091166891346
ADAMTS15,fid_23622,Free Cholesterol to Total Lipids in Medium LDL percentage,-0.2883206509319164,1.3467897940267916e-191,-0.32089211031171483,9.64264247314794e-240,-,0.2883206509319164
IGFBP1,fid_23508,Triglycerides in Medium VLDL,-0.28831268865142334,1.3812734510698246e-191,-0.300424814982987,8.008728888367883e-209,-,0.28831268865142334
CCL27,fid_23501,Triglycerides in Large VLDL,0.2883012297880064,1.432564829473516e-191,0.2862644417700071,7.423588619109534e-189,+,0.2883012297880064
TMPRSS15,fid_23603,Triglycerides to Total Lipids in Small VLDL percentage,0.28829918212783584,1.441719810620685e-191,0.27977068379376674,4.449311692647302e-180,+,0.28829918212783584
FAM20A,fid_23407,Total Triglycerides,0.28828717090292355,1.4978956437431772e-191,0.29024727055805444,2.3575233520637232e-194,+,0.28828717090292355
F7,fid_23502,Concentration of Medium VLDL Particles,0.28823900853332074,1.7469040867557402e-191,0.29137234802180806,6.319643043949648e-196,+,0.28823900853332074
CD300LG,fid_23552,Total Lipids in Very Large HDL,0.28823874012395095,1.7480951579661392e-191,0.26872651170857687,1.0719891042245613e-165,+,0.28823874012395095
NTRK3,fid_23553,Phospholipids in Very Large HDL,0.2882285403740003,1.805706507811114e-191,0.27924960829027456,2.1991652366312793e-179,+,0.2882285403740003
LEP,fid_23495,Concentration of Large VLDL Particles,0.2882271677760487,1.813326102552184e-191,0.3024740300185597,8.295550987805659e-212,+,0.2882271677760487
NPY,fid_23564,Triglycerides in Large HDL,0.28821544128571847,1.8822466802255014e-191,0.30762920829664386,1.9899225093171735e-219,+,0.28821544128571847
KHK,fid_23636,Cholesteryl Esters to Total Lipids in Large HDL percentage,-0.28820537151457676,1.943465863849147e-191,-0.2922876123973914,3.297288397335799e-197,-,0.28820537151457676
GPD1,fid_23634,Phospholipids to Total Lipids in Large HDL percentage,0.2881861583227404,2.066173755966083e-191,0.3108610925781903,2.776841232446358e-224,+,0.2881861583227404
ADH1B,fid_23435,Triglycerides to Phosphoglycerides ratio,0.28818097388155756,2.1003205588346907e-191,0.2949766619503818,5.281410718716339e-201,+,0.28818097388155756
CDHR2,fid_23641,Cholesteryl Esters to Total Lipids in Medium HDL percentage,-0.2881789807489418,2.113368485382491e-191,-0.2889707434743289,1.394418952174313e-192,-,0.2881789807489418
AGR3,fid_23447,Monounsaturated Fatty Acids,0.2881724237889112,2.1577372552047472e-191,0.3031911522108098,7.378215370705255e-213,+,0.2881724237889112
RAB6A,fid_23426,Total Lipids in HDL,0.28816883691870193,2.182226792627818e-191,0.3077797632214074,1.1846604616306947e-219,+,0.28816883691870193
GLA,fid_23622,Free Cholesterol to Total Lipids in Medium LDL percentage,-0.28814673363452775,2.3415117273697623e-191,-0.32963871880320683,1.024158978534167e-253,-,0.28814673363452775
CES1,fid_23615,Cholesterol to Total Lipids in Large LDL percentage,-0.2881290217291009,2.4774040934561234e-191,-0.2731223530745901,2.4311849357294595e-171,-,0.2881290217291009
CKB,fid_23639,Phospholipids to Total Lipids in Medium HDL percentage,-0.288120375400488,2.5463457956246334e-191,-0.3057760191883516,1.136099350742866e-216,-,0.288120375400488
FGFR2,fid_23494,Triglycerides in Very Large VLDL,0.2881163221796936,2.579079608625746e-191,0.28114657235239593,6.422937187676616e-182,+,0.2881163221796936
