protein,metabolite,r_F,p_F,q_F,r_M,p_M,q_M,abs_r_F,abs_r_M,p_diff,q_diff,r_diff,metabolite_label
C9,fid_23605,0.1028959694225212,1.8003067915688483e-14,8.067416279009466e-14,0.2824561520188042,8.243091390462495e-86,1.0049202211374112e-83,0.1028959694225212,0.2824561520188042,6.002194383004142e-21,7.036420879989166e-17,0.17956018259628298,Cholesterol to Total Lipids in Very Small VLDL percentage
PRCP,fid_23625,0.01215369057941087,0.36658439361693806,0.4522147002664506,-0.1730953523981835,1.5991705549462104e-32,2.9159497594694286e-31,0.01215369057941087,0.1730953523981835,6.228156473010293e-21,7.185424122911975e-17,-0.18524904297759437,Cholesterol to Total Lipids in Small LDL percentage
APCS,fid_23554,-0.4066310811438109,6.523040383786403e-219,7.48996518987023e-216,-0.24002429463197908,8.953373189543361e-62,5.030215033415004e-60,0.4066310811438109,0.24002429463197908,6.98793941994554e-21,7.936017182091306e-17,0.16660678651183183,Cholesterol in Very Large HDL
C9,fid_23608,-0.13937613615983355,2.362473060384236e-25,1.948702456934194e-24,-0.3155978427700872,8.873430113740563e-108,2.0664800009612843e-105,0.13937613615983355,0.3155978427700872,8.086832525727101e-21,9.042708571548854e-17,-0.17622170661025363,Triglycerides to Total Lipids in Very Small VLDL percentage
TFF3,fid_23578,0.17441039944038106,5.8314335803876334e-39,9.126955146895332e-38,-0.0100120230150975,0.4954408549257341,0.587673717889487,0.17441039944038106,0.0100120230150975,9.04917242116626e-21,9.965483394013172e-17,-0.18442242245547855,Triglycerides in Small HDL
TFF3,fid_23522,0.18733943662851205,8.710379473939859e-45,1.7194388439498051e-43,0.00351311132427663,0.8109588854320648,0.859161110960047,0.18733943662851205,0.00351311132427663,9.75749930992913e-21,1.0585153702888208e-16,-0.1838263253042354,Triglycerides in Very Small VLDL
PZP,fid_23571,0.17962872702245228,2.9334150757501926e-41,5.0439957722322875e-40,-0.00420269172213636,0.7747713132301601,0.8304752224540068,0.17962872702245228,0.00420269172213636,1.1054783397510531e-20,1.1816116575876438e-16,-0.18383141874458864,Triglycerides in Medium HDL
BMP10,fid_23458,0.18257423487380545,1.3754642166665799e-42,2.4954571216214537e-41,-0.00111973338203128,0.9392309295448452,0.9565435236045622,0.18257423487380545,0.00111973338203128,1.1253208269023281e-20,1.1853884955626752e-16,-0.1836939682558367,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
APCS,fid_23614,0.11401360634852203,1.9387687363752215e-17,1.0367548700914792e-16,-0.07105347578330878,1.274025534969187e-6,3.901120848670373e-6,0.11401360634852203,0.07105347578330878,1.1682892035227415e-20,1.2130697286937682e-16,-0.1850670821318308,Phospholipids to Total Lipids in Large LDL percentage
TFF3,fid_23576,0.05648006903625342,2.680198180846968e-5,6.271048744159459e-5,-0.128340962260549,1.7191173593986695e-18,1.3901491822136494e-17,0.05648006903625342,0.128340962260549,1.2202577462536363e-20,1.2318349416212182e-16,-0.18482103129680244,Cholesteryl Esters in Small HDL
