protein_metabolite_from,protein_metabolite_to,r,q,abs_r,sign
NPY,fid_23407,0.4532127935548349,0,0.4532127935548349,+
ADIPOQ,fid_23561,0.452612783197107,0,0.452612783197107,+
PLTP,fid_23570,0.45256151499766945,0,0.45256151499766945,+
PRAP1,fid_23453,-0.45249065808294975,0,0.45249065808294975,-
CES1,fid_23578,0.45248259095308874,0,0.45248259095308874,+
LDLR,fid_23541,0.4524381593827157,0,0.4524381593827157,+
PLTP,fid_23568,0.4523674367363948,0,0.4523674367363948,+
MXRA8,fid_23418,0.4521599164423533,0,0.4521599164423533,+
AGRP,fid_23485,0.4521068262817955,0,0.4521068262817955,+
MFGE8,fid_23458,-0.4514516596072841,0,0.4514516596072841,-
PLTP,fid_23639,-0.4512027503811965,0,0.4512027503811965,-
PLA2G7,fid_23509,0.45080693426059776,0,0.45080693426059776,+
RARRES2,fid_23458,-0.4507597251633591,0,0.4507597251633591,-
CES1,fid_23452,-0.4506472939540492,0,0.4506472939540492,-
LDLR,fid_23557,0.4502206455115018,0,0.4502206455115018,+
MFGE8,fid_23557,0.4501619118216828,0,0.4501619118216828,+
AGRP,fid_23578,0.4496506347177815,0,0.4496506347177815,+
AGRP,fid_23484,0.4496056561474849,0,0.4496056561474849,+
MXRA8,fid_23406,0.44957375573916536,0,0.44957375573916536,+
PLTP,fid_23569,0.4494251533934748,0,0.4494251533934748,+
LDLR,fid_23548,0.4492141116128829,0,0.4492141116128829,+
AGRP,fid_23407,0.4490317728238633,0,0.4490317728238633,+
NPY,fid_23550,0.4488583739421272,0,0.4488583739421272,+
MFGE8,fid_23643,0.4486629313768865,0,0.4486629313768865,+
MFGE8,fid_23485,0.4486097777981032,0,0.4486097777981032,+
PLA2G7,fid_23594,0.44838064596601457,0,0.44838064596601457,+
CST3,fid_23478,0.4480606250756384,0,0.4480606250756384,+
PRAP1,fid_23596,-0.447929384278114,0,0.447929384278114,-
FGFBP1,fid_23417,0.44775890001973856,0,0.44775890001973856,+
PRAP1,fid_23578,0.44756685838041627,0,0.44756685838041627,+
APOA1,fid_23560,0.4475140460112851,0,0.4475140460112851,+
NPY,fid_23447,0.44748936433850994,0,0.44748936433850994,+
AGRP,fid_23550,0.44698513150686886,0,0.44698513150686886,+
APOA1,fid_23558,0.4468905704898103,0,0.4468905704898103,+
AGRP,fid_23447,0.4454586166750073,0,0.4454586166750073,+
LDLR,fid_23559,-0.44516245368291174,0,0.44516245368291174,-
LDLR,fid_23544,0.4451533508275621,0,0.4451533508275621,+
MFGE8,fid_23453,-0.44486681912872983,0,0.44486681912872983,-
LDLR,fid_23563,-0.44483141497087586,0,0.44483141497087586,-
MMP8,fid_23471,0.44448963134901426,0,0.44448963134901426,+
AGRP,fid_23643,0.4444717175718944,0,0.4444717175718944,+
CES1,fid_23458,-0.4443288060882985,0,0.4443288060882985,-
NPY,fid_23408,0.4442434046397696,0,0.4442434046397696,+
APOM,fid_23419,0.4442040068727161,0,0.4442040068727161,+
CES1,fid_23636,-0.4441810951224551,0,0.4441810951224551,-
MFGE8,fid_23536,0.44401814739893086,0,0.44401814739893086,+
MFGE8,fid_23435,0.4437377124836811,0,0.4437377124836811,+
ASGR1,fid_23453,-0.44339547189337064,0,0.44339547189337064,-
MFGE8,fid_23490,0.44331761339069553,0,0.44331761339069553,+
MMP9,fid_23471,0.4426476238073288,0,0.4426476238073288,+
IGSF9,fid_23494,0.44243506843011554,0,0.44243506843011554,+
CCN1,fid_23447,0.4423942665462228,0,0.4423942665462228,+
APOA1,fid_23559,0.4423305313736928,0,0.4423305313736928,+
PLTP,fid_23635,0.4422263782423933,0,0.4422263782423933,+
MFGE8,fid_23645,-0.44136696848109874,0,0.44136696848109874,-
PLTP,fid_23440,0.4412049145478033,0,0.4412049145478033,+
AGRP,fid_23486,0.4409604801101761,0,0.4409604801101761,+
MFGE8,fid_23646,-0.4402027812352267,0,0.4402027812352267,-
LDLR,fid_23553,-0.4399091133181356,0,0.4399091133181356,-
TGFA,fid_23471,0.4398904548049377,0,0.4398904548049377,+
FGFBP1,fid_23547,0.43988796739539265,0,0.43988796739539265,+
LDLR,fid_23606,-0.43969273112128976,0,0.43969273112128976,-
MXRA8,fid_23554,0.4395936978109484,0,0.4395936978109484,+
AGRP,fid_23408,0.4388932489520312,0,0.4388932489520312,+
ADIPOQ,fid_23558,0.4387788241152259,0,0.4387788241152259,+
RELT,fid_23478,0.4386115375620495,0,0.4386115375620495,+
NPY,fid_23488,0.4385321706265627,0,0.4385321706265627,+
MFGE8,fid_23636,-0.438520290673597,0,0.438520290673597,-
NPY,fid_23508,0.4382559045746115,0,0.4382559045746115,+
PRAP1,fid_23639,0.4378923076372552,0,0.4378923076372552,+
MFGE8,fid_23448,0.4378177725957339,0,0.4378177725957339,+
PRAP1,fid_23435,0.4377756309073296,0,0.4377756309073296,+
AGRP,fid_23410,0.4376164758841875,0,0.4376164758841875,+
MFGE8,fid_23613,0.4373904797819854,0,0.4373904797819854,+
MXRA8,fid_23642,0.4371612544762575,0,0.4371612544762575,+
MFGE8,fid_23640,-0.4371244603781028,0,0.4371244603781028,-
FAM20A,fid_23480,0.4370149634087939,0,0.4370149634087939,+
LDLR,fid_23558,-0.436901845375539,0,0.436901845375539,-
NPY,fid_23497,0.4366247330421161,0,0.4366247330421161,+
NPDC1,fid_23478,0.43659151238594834,0,0.43659151238594834,+
IGSF9,fid_23447,0.4365338293825643,0,0.4365338293825643,+
AGRP,fid_23488,0.43650434857492304,0,0.43650434857492304,+
APOM,fid_23642,0.4364703012006986,0,0.4364703012006986,+
NPY,fid_23495,0.4363708049571327,0,0.4363708049571327,+
PON3,fid_23636,0.4356205592998577,0,0.4356205592998577,+
IGSF9,fid_23622,-0.4355445267943098,0,0.4355445267943098,-
MFGE8,fid_23495,0.4355408227234958,0,0.4355408227234958,+
AGRP,fid_23483,0.4354595634045963,0,0.4354595634045963,+
PRAP1,fid_23634,0.43537655492660354,0,0.43537655492660354,+
PRAP1,fid_23640,-0.4353500033906227,0,0.4353500033906227,-
CCN1,fid_23578,0.4353474167459422,0,0.4353474167459422,+
PRAP1,fid_23595,-0.43503576028475904,0,0.43503576028475904,-
AGRP,fid_23648,0.43497127492172794,0,0.43497127492172794,+
