module_protein,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
1,Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,20/461,157/9521,0.12738853503184713,2.6309462950937452,4.647973274979203,6.698228737098984e-5,4.214125308502859e-4,2.5012516177701834e-4,208/10000/1026/2308/2309/3708/5604/5608/9261/4772/4790/5501/5534/5728/6237/5054/4087/4088/7040/7157,20
1,Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,35/461,362/9521,0.09668508287292818,1.9968300955165925,4.361704458476398,6.826620437450114e-5,4.214125308502859e-4,2.5012516177701834e-4,208/10000/284/598/10018/627/842/11140/1026/1280/1950/1975/1977/2069/2149/2247/2309/2997/8517/3574/3655/3693/5604/4790/5154/5155/29941/5525/5728/56034/6794/7157/7422/7424/10971,35
1,Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,18/461,133/9521,0.13533834586466165,2.7951331691484675,4.702629778723772,6.959968604316837e-5,4.215377211293782e-4,2.501994672058287e-4,208/10000/369/10018/1026/1032/1950/2308/2309/5604/5601/5564/5728/4088/6648/6794/6789/7040,18
1,Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,17/461,122/9521,0.13934426229508196,2.877867074428363,4.708784074033577,7.61020816876026e-5,4.523845966985266e-4,2.685083194046017e-4,208/10000/959/9402/8517/27040/5604/5601/8440/4772/4790/4794/10298/5525/5534/5777/10451,17
1,Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,27/461,253/9521,0.1067193675889328,2.2040674594668745,4.378475315201248,9.123798866213753e-5,5.324980792826572e-4,3.160588698152515e-4,84335/208/10000/382/55054/581/598/8678/10241/6352/1399/2308/2309/3059/8517/3553/3708/5601/4790/5330/10801/6714/23118/10318/7157/7186/8936,27
1,Human Diseases,Cancer: overview,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,14/461,90/9521,0.15555555555555556,3.2126777536755844,4.757353132983439,9.785993466014703e-5,5.609471254626285e-4,3.32944514539222e-4,208/10000/1457/1950/8517/27040/5604/5608/4772/4790/4794/5534/5728/5777,14
1,Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,25/461,227/9521,0.11013215859030837,2.2745515877187112,4.38403336670288,9.992723503883058e-5,5.627481131134143e-4,3.3401347261363494e-4,25/208/10000/369/1329/1340/1950/2309/653689/8517/5604/4217/5601/4698/4713/4790/4726/10105/25865/5728/5770/6390/6648/6714/7422,25
1,Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,14/461,91/9521,0.15384615384615385,3.1773736025362926,4.707633463151459,1.1063792852374195e-4,6.12323707864158e-4,3.6343856738289094e-4,208/10000/55024/27071/8517/3636/4067/5604/4772/4790/4794/5534/5777/10451,14
1,Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,23/461,203/9521,0.11330049261083744,2.339986963444215,4.353034178921208,1.2291175560625835e-4,6.687232805018462e-4,3.969139654724845e-4,208/10000/329/1280/1399/1950/3655/3693/5604/5601/10298/5154/5155/5501/4659/5728/56034/6714/7408/10451/7422/7424/331,23
1,Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,14/461,99/9521,0.1414141414141414,2.9206161397050767,4.33302764119982,2.7617930621102587e-4,0.0014533370048153986,8.626135362242567e-4,208/10000/382/1399/3636/27040/4067/5604/5321/7408/10451/7454/8936/10810,14
1,Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,14/461,99/9521,0.1414141414141414,2.9206161397050767,4.33302764119982,2.7617930621102587e-4,0.0014533370048153986,8.626135362242567e-4,208/10000/1606/8525/1950/5604/5601/5154/5155/5321/56034/7454/8936/10810,14
1,Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,41/461,483/9521,0.08488612836438923,1.7531471326623642,3.831969660785479,2.9782560180496826e-4,0.0015419680351515294,9.152195912852165e-4,351/369/11273/8312/581/598/627/8678/637/836/840/841/842/1329/1340/1457/1639/10540/10671/22943/1742/9451/8772/27429/3553/3708/5604/5608/4217/5601/4698/4713/4790/4726/5330/10105/5534/6390/10010/7186/9246,41
