protein,module_protein,degree_pp
LGALS7_LGALS7B,3,15
LTBR,3,257
LY9,3,58
LSP1,2,137
LRRFIP1,1,811
LSM1,1,224
LYN,1,853
LZTFL1,1,871
MAD1L1,2,902
LTBP2,3,118
IDUA,3,14
MAGED1,1,721
MANF,1,841
MAP2,1,781
MAP2K1,1,882
MAP2K6,1,856
LYSMD3,1,149
MAP3K5,1,768
MAP4K5,1,853
MAPK9,1,783
GABARAPL1,4,23
MAPKAPK2,1,827
MARS1,1,870
MAVS,1,845
IDI2,3,8
KLHL41,3,24
LIFR,3,23
MAX,1,856
MCEMP1,1,740
LXN,2,83
MCFD2,1,865
MDH1,2,885
CGN,1,1
LRFN2,4,3
LRTM1,4,4
MDK,1,696
MDM1,1,602
MECR,1,862
MCAM,3,110
FETUB,3,6
MAMDC4,3,14
MANSC1,3,174
MEGF9,3,44
MED18,1,862
MERTK,3,4
MESD,1,862
METAP1D,1,858
MAMDC2,3,22
LY6D,3,139
METAP2,1,873
MGLL,1,843
MGMT,1,823
MICALL2,1,706
MIF,1,888
MINDY1,1,832
MINK1,1,857
KDM3A,4,36
MITD1,1,858
HAVCR1,3,3
MMP8,2,46
LYZL2,4,23
LYAR,2,18
MMP9,2,39
MMP1,1,527
MMUT,1,602
GFAP,3,2
LRTM2,3,26
EPN1,4,5
MAPRE3,4,43
MOCS2,1,842
MPHOSPH8,1,868
MPI,1,871
MNDA,2,115
MARCO,3,63
MPIG6B,1,820
LILRB2,3,21
MRC1,3,40
MRI1,2,622
MRPL46,1,434
MRPL58,1,584
LRRN1,3,10
MSRA,1,875
MORC3,4,40
MTDH,1,862
MTHFSD,1,838
MTIF3,1,848
MTSS1,1,776
GP2,5,8
ATXN2,10,1
MME,3,64
MTSS2,1,815
KITLG,3,16
LPL,3,8
MENT,3,2
CAPN3,3,6
MB,3,45
MYBPC1,3,26
MVK,3,903
MYCBP2,1,690
MORF4L2,4,47
MYDGF,1,877
MYBPC2,3,6
MYL3,3,25
MYH9,1,821
ANGPTL7,3,2
MEGF10,3,37
MFAP4,3,31
MSTN,3,14
MXRA8,3,62
MYLPF,3,16
MYOM2,3,18
IGLC2,3,7
LY96,3,10
MYO9B,1,715
MZT1,1,775
NAA10,1,738
MAN2B2,3,14
NAA80,1,865
MPO,2,80
MKI67,4,38
NACC1,1,748
NADK,2,130
NAGK,1,885
MYL4,2,69
NAP1L4,2,799
MEPE,3,52
MFAP5,3,168
MIA,3,25
NAMPT,2,169
MYOC,3,59
NCAM1,3,45
MOG,3,53
NBN,2,154
NARS1,1,835
NAGA,4,40
FASLG,3,3
LTA,3,15
NBL1,3,281
NCR1,3,137
LMOD1,3,8
NCK2,1,859
NDUFA5,1,710
NDUFB7,1,848
NCR3LG1,3,90
IL17C,3,5
NECTIN2,3,757
NAPRT,2,111
NECAP2,1,789
NCF2,2,143
NCAN,3,31
MYL6B,4,22
NEDD4L,2,697
NEK7,1,652
MSR1,3,82
NELL2,3,51
NEXN,1,806
NFAT5,1,704
NFATC1,1,832
NFE2,1,862
NFKB1,1,863
NDUFS6,1,106
NFKBIE,1,865
NFU1,1,853
NAGPA,3,31
NFASC,3,69
NID1,1,592
NCLN,4,29
NFX1,1,787
NID2,1,578
NGRN,1,492
NHLRC3,3,118
NIT1,1,836
ADAMTS1,4,2
CPOX,4,2
FGF20,4,1
INSR,4,4
KIAA1549L,4,16
MAP1LC3A,4,14
NIT2,1,883
NFYA,2,29
NMI,1,807
MYOM3,3,19
NEB,3,15
ADAMTS13,3,1
MET,3,21
NCAM2,3,29
NECTIN4,3,255
NOTCH1,3,186
MMP12,3,22
NCS1,3,30
NPC2,3,233
NMNAT1,2,113
NPDC1,3,276
GRP,3,4
MFGE8,3,18
MLN,3,1
NOTCH3,3,106
NPTXR,3,29
NMT1,1,758
NRP1,3,25
MAEA,2,21
NPL,2,154
NPM1,2,150
NRGN,1,856
NSFL1C,2,890
NT5C,1,857
NPPB,11,1
LEPR,3,11
NRCAM,3,59
NTRK2,3,71
NT5C3A,1,854
NENF,4,36
NPPC,3,151
NT5C1A,3,351
NUB1,1,874
NUCB2,1,899
ADAMTSL4,3,4
NME1,4,53
NUDC,1,855
NUDT16,1,867
NUDT2,1,753
NUDT5,1,901
NTRK3,3,66
NUMB,1,864
OCLN,3,181
OGA,1,864
NUBP1,4,34
OLFM4,2,6
NRP2,3,61
NXPH1,3,15
OGFR,2,875
OPHN1,1,826
ITIH4,3,31
LRG1,3,10
OLR1,2,52
OPLAH,1,839
OTUD6B,1,876
OTUD7B,1,879
NOMO1,3,101
OXCT1,1,814
P4HB,1,889
FSHB,4,3
KIAA2013,4,1
OGT,4,17
PACS2,1,854
PAFAH2,1,785
NUDT10,4,24
PAG1,1,676
PAFAH1B3,4,48
PAGR1,2,788
OGN,3,175
MTUS1,3,31
NT5E,3,45
PALM,3,183
MED21,3,2
MRPS16,4,1
PAIP2B,4,6
MATN2,3,36
PAK4,1,816
PARD3,1,480
OSM,2,49
PARK7,2,893
PARP1,2,254
DCLRE1C,4,3
GAD1,4,3
GATA3,4,3
