module,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
6,GO:0097529,myeloid leukocyte migration,20/246,243/18986,0.0823045267489712,6.352169694536451,9.62058585940128,6.006113714962789e-11,1.8796887170196896e-7,1.50627017111448e-7,NBL1/XG/IL6/CCL16/CCL7/BSG/VEGFA/PGF/CD74/CD99/CXCL13/B4GALT1/CCN3/CCL15/MSTN/UMOD/CXCL17/CCL14/CD300A/CALCA,20
6,GO:0050900,leukocyte migration,25/246,404/18986,0.06188118811881188,4.775919665137245,8.789319698084638,1.1079803813850219e-10,1.8796887170196896e-7,1.50627017111448e-7,TNFSF14/NBL1/JAM2/XG/IL6/CCL16/TNFRSF14/SELE/CCL7/BSG/VEGFA/PGF/ICAM1/CD74/CD99/CXCL13/B4GALT1/CCN3/CCL15/MSTN/UMOD/CXCL17/CCL14/CD300A/CALCA,25
6,GO:0002687,positive regulation of leukocyte migration,15/246,152/18986,0.09868421052631579,7.616335044929397,9.383309930656456,1.314504683479538e-9,1.4867047970153576e-6,1.191356349974613e-6,TNFSF14/JAM2/XG/IL6/TNFRSF14/SELE/CCL7/VEGFA/PGF/ICAM1/CD74/CD99/CXCL13/MSTN/CXCL17,15
6,GO:0002685,regulation of leukocyte migration,18/246,236/18986,0.07627118644067797,5.886523356758992,8.65452836060031,1.9184988788749015e-9,1.6273666740056352e-6,1.3040743695089133e-6,TNFSF14/NBL1/JAM2/XG/IL6/TNFRSF14/SELE/CCL7/VEGFA/PGF/ICAM1/CD74/CD99/CXCL13/CCN3/MSTN/CXCL17/CD300A,18
6,GO:0097530,granulocyte migration,14/246,156/18986,0.08974358974358974,6.926308109234939,8.515485757741285,1.6150168772471293e-8,1.095950452899902e-5,8.782291776693337e-6,XG/CCL16/CCL7/BSG/VEGFA/CD74/CD99/CXCL13/CCL15/MSTN/UMOD/CXCL17/CCL14/CD300A,14
6,GO:0051346,negative regulation of hydrolase activity,17/246,252/18986,0.06746031746031746,5.206510517486127,7.7018499370868065,3.398573812218581e-8,1.4956854627295978e-5,1.1985529186189995e-5,CST3/COL6A3/AMBP/TIMP3/FETUB/EGLN1/SPINK1/VEGFA/TIMP1/PLAUR/BAG4/GZMA/LAMP3/SERPINB8/CST6/SPINK4/WFDC2,17
6,GO:0045785,positive regulation of cell adhesion,24/246,499/18986,0.04809619238476954,3.7120093846229043,7.033901806252963,3.735215475270101e-8,1.4956854627295978e-5,1.1985529186189995e-5,TNFSF14/TGFBR2/IL6/FSTL3/VWC2/TNFRSF14/LILRB4/SELE/VEGFA/PLAUR/CD74/CXCL13/APBB1IP/CD274/CD83/IL18/BAG4/CD160/CD46/CCDC80/PRSS2/IL12B/CD80/SIRPB1,24
6,GO:0043542,endothelial cell migration,18/246,287/18986,0.0627177700348432,4.840486105209484,7.511142765386097,4.077201747131881e-8,1.4956854627295978e-5,1.1985529186189995e-5,EFNA1/ACVRL1/SMOC2/PRCP/NOS3/EPHB4/CLEC14A/BSG/VEGFA/STC1/CD40/CXCL13/CCN3/PXN/FSTL1/BMPER/CALCA/TGFBR3,18
6,GO:0002703,regulation of leukocyte mediated immunity,17/246,258/18986,0.06589147286821706,5.08542887754459,7.569895216884252,4.794919725201956e-8,1.4956854627295978e-5,1.1985529186189995e-5,IL18R1/IL6/LILRB4/CD40/ICAM1/NECTIN2/ULBP2/CD274/IL18/CD160/CD46/SH2D1A/NCR1/KLRB1/IL12B/CD300A/CD80,17
6,GO:0007159,leukocyte cell-cell adhesion,22/246,430/18986,0.05116279069767442,3.948685951975799,7.086122039496615,4.835136165533289e-8,1.4956854627295978e-5,1.1985529186189995e-5,TNFSF14/TGFBR2/JAM2/MAD1L1/IL6/TNFRSF14/LILRB4/SELE/ICAM1/CD74/TNFRSF21/CD274/CD83/UMOD/IL18/CD160/CD46/IL12B/CD300A/CD80/CALCA/SIRPB1,22
6,GO:0002706,regulation of lymphocyte mediated immunity,15/246,198/18986,0.07575757575757576,5.846883468834689,7.85494156787551,4.8489655437741166e-8,1.4956854627295978e-5,1.1985529186189995e-5,IL18R1/IL6/LILRB4/CD40/NECTIN2/ULBP2/CD274/IL18/CD160/CD46/SH2D1A/NCR1/KLRB1/IL12B/CD80,15
6,GO:0030595,leukocyte chemotaxis,16/246,240/18986,0.06666666666666667,5.145257452574525,7.404417256521664,1.0231635456829311e-7,2.8929949254184877e-5,2.3182731916657994e-5,TNFSF14/NBL1/IL6/CCL16/CCL7/BSG/VEGFA/PGF/CD74/CXCL13/CCN3/CCL15/MSTN/CXCL17/CCL14/CALCA,16
6,GO:0090287,regulation of cellular response to growth factor stimulus,20/246,381/18986,0.05249343832020997,4.051383820924824,6.89338525484403,1.335692280372426e-7,3.4861568517720325e-5,2.7935977005684027e-5,NBL1/FSTL3/ACVRL1/SMOC2/VWC2/DLL1/VEGFA/CHRDL1/CDH3/CXCL13/GPC1/BAMBI/FSTL1/BMPER/RGMA/SFRP4/IL12B/FOLR1/TGFBR3/VASN,20
6,GO:0032613,interleukin-10 production,9/246,66/18986,0.13636363636363635,10.524390243902438,8.880484165757526,1.7304083915360722e-7,3.9141837816545954e-5,3.136592894973807e-5,HGF/IL6/LILRB4/DLL1/TNFRSF21/CD274/CD83/CD46/IL12B,9
6,GO:0032653,regulation of interleukin-10 production,9/246,66/18986,0.13636363636363635,10.524390243902438,8.880484165757526,1.7304083915360722e-7,3.9141837816545954e-5,3.136592894973807e-5,HGF/IL6/LILRB4/DLL1/TNFRSF21/CD274/CD83/CD46/IL12B,9
6,GO:0002456,T cell mediated immunity,12/246,138/18986,0.08695652173913043,6.7112053729232946,7.714765775507582,2.4665137473750133e-07,5.230550715527137e-5,4.191450664124776e-5,IL18R1/IL6/LILRB4/ICAM1/NECTIN2/ULBP2/BTN3A2/CD274/IL18/CD46/IL12B/CD80,12
6,GO:0060326,cell chemotaxis,18/246,328/18986,0.054878048780487805,4.235425342058299,6.772107155489976,3.017792120654626e-7,6.0231580384594984e-5,4.8265987911151084e-5,TNFSF14/HGF/NBL1/IL6/SMOC2/CCL16/CCL7/BSG/VEGFA/PGF/CD74/CXCL13/CCN3/CCL15/MSTN/CXCL17/CCL14/CALCA,18
6,GO:0010466,negative regulation of peptidase activity,14/246,198/18986,0.0707070707070707,5.457091237579042,7.223237665808921,3.2014877871177214e-7,6.034804478716905e-5,4.835931552119927e-5,CST3/COL6A3/AMBP/TIMP3/FETUB/SPINK1/VEGFA/TIMP1/PLAUR/LAMP3/SERPINB8/CST6/SPINK4/WFDC2,14
6,GO:0071674,mononuclear cell migration,15/246,231/18986,0.06493506493506493,5.011614401858304,7.0283713296905725,3.629688941846487e-7,6.481860305097437e-5,5.19417536664237e-5,TNFSF14/NBL1/JAM2/XG/IL6/TNFRSF14/CCL7/ICAM1/CD99/CXCL13/B4GALT1/CCN3/MSTN/CXCL17/CALCA,15
6,GO:0022409,positive regulation of cell-cell adhesion,18/246,336/18986,0.05357142857142857,4.134581881533101,6.641985154896452,4.296726458023667e-7,6.956283169552778e-5,5.574349489492243e-5,TNFSF14/TGFBR2/IL6/FSTL3/TNFRSF14/LILRB4/SELE/PLAUR/CD74/CXCL13/CD274/CD83/IL18/CD160/CD46/IL12B/CD80/SIRPB1,18
6,GO:0002697,regulation of immune effector process,20/246,410/18986,0.04878048780487805,3.764822526274043,6.484420160784955,4.3053918821281555e-7,6.956283169552778e-5,5.574349489492243e-5,IL18R1/IL6/TNFRSF14/LILRB4/CD40/ICAM1/NECTIN2/CD74/ULBP2/FCN1/CD274/IL18/CD160/CD46/SH2D1A/NCR1/KLRB1/IL12B/CD300A/CD80,20
6,GO:0050670,regulation of lymphocyte proliferation,15/246,240/18986,0.0625,4.8236788617886175,6.830001289797028,5.912067066134544e-7,9.118019797906594e-5,7.30663599608877e-5,CD38/TGFBR2/MAD1L1/IL6/TNFRSF14/LILRB4/CD40/CD74/TNFRSF21/CD274/IL18/CD46/IL12B/CD300A/CD80,15
6,GO:0006959,humoral immune response,17/246,310/18986,0.054838709677419356,4.232389194859691,6.574316706566407,6.559852192396049e-7,9.677208038608605e-5,7.754736024237527e-5,ADM/IL6/CCL16/CCL7/ANG/CXCL13/FCN1/CCL15/TNFRSF21/CD83/CD46/CCL14/SH2D1A/PRSS2/REG1A/CALCA/WFDC2,17
6,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,20/246,425/18986,0.047058823529411764,3.6319464371114303,6.287223330649158,7.561001534996439e-7,1.0018504276872707e-4,8.028230427090513e-5,TGFBR2/NBL1/RGMB/FSTL3/ACVRL1/VWC2/CHRDL1/CDH3/PARP1/CCN3/PXN/MSTN/BAMBI/FSTL1/BMPER/RGMA/SFRP4/FOLR1/TGFBR3/VASN,20
