name,wX_01,wX_02,wX_03,wX_04,wX_05,wX_06,wX_07,wX_08,wX_09,wX_10
CASP3,-0.08477231453784569,-0.20079960717676304,0.14282682321300638,0.005143776339441221,0.182777359786761,0.32954462435277665,-0.030915641098416637,0.0533377691316166,0.09531472714017941,0.18366707189686796
CBLN4,-0.0030021721731587616,-0.005427307744918835,-0.05140043016162431,0.012401325096890467,0.027824267572039048,-0.08927881331239002,-0.04471950435073312,1.1468521052027576e-4,0.0817112164754758,0.03257949424277565
CCL11,-0.018121426470400687,0.0021089405451297865,-0.03703727047016258,0.01116860968642613,0.16142864731821488,0.11966907884713485,0.05326687288504008,0.0631220534348627,0.01663257539818282,0.03031768146147576
CCL15,0.016450958306332357,0.017338740071377007,-0.020694558116597848,0.06997172746016407,-0.04092284747123379,0.0701322594000488,0.055894951020462554,0.003831981631803046,-0.013962440285449544,-0.11017348623454228
CCL16,0.06975617288497579,-0.051079511300822014,0.0047650843434374965,0.007900121669079099,0.010574977099045322,-0.018547778502828013,0.040576044448666415,-0.033529727747665314,0.007590839483412963,-0.13786939555809066
CCL20,0.012619341893512333,0.03803579851265307,0.005293504395673005,0.004546944764854456,-0.11011905484592319,8.360272395310017e-4,-0.09166081784374859,-0.03812854890061621,0.029264293037618586,-0.05703049469903411
CCL25,-0.01722545755057935,-0.040365232233194666,0.03879855856032771,-0.012078356702881057,-0.05722728135174495,0.026693901070834667,0.015014566178336571,-0.06602157516741505,-0.01935669149660196,-9.374839177221964e-4
CCN4,0.01647705961906455,-0.018477915160597103,0.05695428050305954,0.06222939652517442,-0.00730375072058189,-0.050524299814524956,-0.043695749268847686,0.0057566731493176315,-0.04681891285076562,-0.025333074168511945
CD160,-0.009193892987552557,0.06523863637317089,-1.2546904247958622e-4,-0.01915959445310251,0.006823840388959783,-0.09237560445202309,0.0063963342707239685,0.038472553716245375,-0.05541574199079048,-0.08873987446866677
CD22,0.053313537748039375,-0.03915202415839672,0.014994732033652064,-0.17243849784245982,-0.039665071562060755,-0.0652897167638551,0.01780370844818354,0.02199765435032054,0.0042381537461545216,0.1361680861840799
CD244,-0.022208698212848123,-0.04417582895773993,-0.012845445655654434,-0.030304130361527213,0.033161225080306,-0.08599502239076964,-3.4274498021595904e-5,-0.012664820738035406,0.03008014811510598,0.1807827586938612
CD300LF,-0.004574317213754012,0.003002661749078304,0.04953626198107352,-0.06358136671564087,-5.504940423722348e-4,0.02940250053578566,0.022247479972133704,-0.009485528203661006,-0.06725940349577277,0.08230833958144017
CD40LG,-0.018201205585418673,-0.06680967473395824,0.2543264527291178,-0.08677543617942544,0.4414231308023728,-0.10030325609643387,0.026365546494914502,0.10785884269691128,0.10982494520867123,-0.14707293471047947
CD79B,-0.015047590177248917,0.19044829932217724,-0.1152582201858628,0.18311026021398613,-0.01752511934025709,0.13013011045032577,-0.2589018463454925,-0.1259763368751295,0.15289297263550394,-0.1448715826341699
CDH5,-0.05845531201036748,0.029553214259343805,-0.04525689047798558,-0.01569291243534855,0.024094828527145607,-0.020845760882983722,-0.14487256028839787,-0.015230698949490078,-0.07955207659062213,0.03567218402852723
CLEC7A,-0.003370192027629664,0.02052337902953567,0.03822602206965796,-0.0032613436208468113,-0.0035807671342925557,0.007839579411895033,0.03701684515958978,0.008719744363552136,0.006310369590605185,-0.013161562261626937
CLMP,-0.042405872253316185,-0.09436617544327423,0.23261748712950497,-0.0036977587689739615,-0.059131717405920874,0.05621263014459835,-0.10669646027112566,0.06646694540786535,-0.032899198164877824,0.008520229716201075
CLSTN2,-0.05305053276221321,0.020649827547611303,-0.003191429837484129,0.04397811064059642,-0.006925891522837842,0.03277312855157177,0.0023208774214130063,0.1263903199228771,-0.057690514895206345,0.1606737264561442
CNTN1,-0.04786392034231613,-0.005328669818744792,-0.08015058003268966,0.006359121199944373,0.05568841185772938,-0.13124402629433482,0.07126732154588032,-0.05688547248319122,-0.07538412324063075,0.044251171700515374
CNTN2,-0.001154943441199548,0.04761637623979676,-0.06120696266205838,0.029892102443440736,-0.022722558228281755,0.06153752651679565,0.02566741525627599,0.028749379474927724,0.03748805862299465,0.005940209616838189
COL1A1,-0.031008213398283708,0.05528028109886043,-0.0173886308330803,0.013801441659568245,-0.00861284374414732,0.026655476573073468,0.03981106128680965,0.06163739777552684,-0.014235826028216535,0.025862495235837633
