protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
F7,fid_23548,10318,0.2623235939087573,5.841366061450849e-162,4.895789885315047e-160,0.26175203181357415,3.075602527581869e-161,2.1997902524000874e-159,+,0.2623235939087573,Cholesteryl Esters in Small LDL
CFI,fid_23448,9902,0.26757976465294664,5.854236891911209e-162,4.9060122905343234e-160,0.26347909049626206,6.468772329911035e-157,4.363840169211381e-155,+,0.26757976465294664,Saturated Fatty Acids
MXRA8,fid_23585,9590,0.2717304721165731,5.9549071672498415e-162,4.989802232118294e-160,0.2847362352632999,2.6386230571099637e-178,2.3686002760078608e-176,+,0.2717304721165731,Cholesterol to Total Lipids in Very Large VLDL percentage
EPHA1,fid_23496,10330,0.26216677420594836,6.009340094873637e-162,5.034833628676867e-160,0.2823988769488201,1.136034353726392e-188,1.1604722464135e-186,+,0.26216677420594836,Total Lipids in Large VLDL
FGF21,fid_23522,10427,0.2609857463867397,6.029824495612762e-162,5.0514146790611756e-160,0.24475397892579318,4.59620809187882e-142,2.508995985065541e-140,+,0.2609857463867397,Triglycerides in Very Small VLDL
GGT1,fid_23483,10325,0.262225962820084,6.045538998544235e-162,5.0639964468793355e-160,0.26061680819975097,6.43264944256488e-160,4.5230953007764165e-158,+,0.262225962820084,Phospholipids in Chylomicrons and Extremely Large VLDL
SNCA,fid_23550,9676,0.2705572087026581,6.095040970210214e-162,5.104873859867882e-160,0.2496926375913848,1.9064677977043237e-137,9.74628599985773e-136,+,0.2705572087026581,Triglycerides in Small LDL
PLXNB3,fid_23471,10231,0.26336651488610746,6.388238004018584e-162,5.349824072892456e-160,0.2535978924638644,6.955296333776445e-150,4.250421884738462e-148,+,0.26336651488610746,Lactate
HS6ST1,fid_23564,10438,0.2608292928659715,6.461811372099998e-162,5.410815445836891e-160,0.24891257040935244,3.573977240308055e-147,2.101330586381526e-145,+,0.2608292928659715,Triglycerides in Large HDL
CHI3L1,fid_23645,10051,-0.2656262953020554,6.46427545903012e-162,5.412256084803308e-160,-0.2536238237614676,2.5920380769228236e-147,1.527327799071007e-145,-,0.2656262953020554,Cholesterol to Total Lipids in Small HDL percentage
FTCD,fid_23605,9881,-0.26780707801608444,6.685194042969835e-162,5.596577783198305e-160,-0.2559216223642894,1.5197996379716807e-147,8.982145441380547e-146,-,0.26780707801608444,Cholesterol to Total Lipids in Very Small VLDL percentage
CNTN3,fid_23561,10349,-0.26189669887600336,6.707166914309059e-162,5.6143268243137665e-160,-0.27932843690869974,8.393264871226496e-185,8.173461053559228e-183,-,0.26189669887600336,Cholesterol in Large HDL
LYN,fid_23471,10287,0.26265493159585324,6.750297179986101e-162,5.649779836266955e-160,0.2579595521608711,4.936253630097715e-156,3.284939810581631e-154,+,0.26265493159585324,Lactate
APOC1,fid_23545,9892,0.2676589869372868,6.773200204792371e-162,5.668297097221361e-160,0.29595787977059357,3.714196192661586e-199,4.279392547595859e-197,+,0.2676589869372868,Total Lipids in Small LDL
DNAJB1,fid_23571,10318,0.26227153232685824,6.7967331605578105e-162,5.6873372109097605e-160,0.25647619100995045,1.1540202524100491e-154,7.530277014979817e-153,+,0.26227153232685824,Triglycerides in Medium HDL
EZR,fid_23639,10430,0.2609019923872152,6.928443882672996e-162,5.796883004706563e-160,0.2579574369229815,3.587545801271719e-158,2.464011227613656e-156,+,0.2609019923872152,Phospholipids to Total Lipids in Medium HDL percentage
DNAJB1,fid_23493,10318,0.2622596738317873,7.035301303987877e-162,5.885611772617913e-160,0.26291749627258615,1.0351232613423837e-162,7.544468835700411e-161,+,0.2622596738317873,Free Cholesterol in Very Large VLDL
CD72,fid_23422,9676,-0.27050521001057165,7.060389404608382e-162,5.905921203525923e-160,-0.27275265791310443,1.1915534005274731e-164,8.951741709802944e-163,-,0.27050521001057165,Free Cholesterol in HDL
PROS1,fid_23548,9911,0.2673928414877816,7.147209475867608e-162,5.977857999531479e-160,0.29144252539652815,2.778061729417556e-193,2.999923344713341e-191,+,0.2673928414877816,Cholesteryl Esters in Small LDL
FAM20A,fid_23633,9915,0.2673301232447763,7.369940628245009e-162,6.163439937531518e-160,0.3104795721458175,1.6342965436643673e-220,2.4265302947482774e-218,+,0.2673301232447763,Triglycerides to Total Lipids in Very Large HDL percentage
RIDA,fid_23543,9676,0.2704895851482519,7.379254754988118e-162,6.170520278675019e-160,0.26753773066457726,2.946505888973166e-158,2.02679004031157e-156,+,0.2704895851482519,Triglycerides in Medium LDL
SEMA3F,fid_23550,10283,0.26265563008656817,7.773475104935235e-162,6.499419948534977e-160,0.2696183882352685,9.432666277143759e-171,7.686239586312932e-169,+,0.26265563008656817,Triglycerides in Small LDL
EPHA1,fid_23500,10330,0.2620759981842473,7.826681870094917e-162,6.543154589324113e-160,0.2799428465067649,2.6456383092023112e-185,2.592308822929174e-183,+,0.2620759981842473,Free Cholesterol in Large VLDL
PSRC1,fid_23481,10125,0.26462112343721117,7.852307484618509e-162,6.56382381946415e-160,0.26967540823560604,3.1216359304243345e-168,2.459951184855946e-166,+,0.26462112343721117,Concentration of Chylomicrons and Extremely Large VLDL Particles
SHBG,fid_23453,9895,0.2675600282280655,8.0356222742269455e-162,6.716287153173834e-160,0.28173182447942796,6.228728534007656e-180,5.726205384263218e-178,+,0.2675600282280655,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
LPL,fid_23604,10283,-0.2626254501990542,8.485524074299718e-162,7.091507096595867e-160,-0.2597856056002376,3.075854278124477e-158,2.1151642022718287e-156,-,0.2626254501990542,Phospholipids to Total Lipids in Very Small VLDL percentage
ACE2,fid_23608,10146,0.26430250952125484,9.186459333944378e-162,7.676410031741372e-160,0.23086817547293023,7.649166882270279e-123,3.129437990119241e-121,+,0.26430250952125484,Triglycerides to Total Lipids in Very Small VLDL percentage
UPB1,fid_23498,9919,0.26719204432258176,9.42671844093675e-162,7.876271613720207e-160,0.2724623791548441,2.2916825179728126e-168,1.810429189198522e-166,+,0.26719204432258176,Cholesterol in Large VLDL
GPR37,fid_23599,10146,-0.26426983537883,1.0094880635699887e-161,8.432602649419881e-160,-0.25971511864298186,4.530788604355695e-156,3.016217211691569e-154,-,0.26426983537883,Phospholipids to Total Lipids in Small VLDL percentage
CRIP2,fid_23433,10264,-0.26279643847603057,1.020027763999059e-161,8.519666598440935e-160,-0.2946433000793323,1.1334758405157775e-204,1.3944799198361677e-202,-,0.26279643847603057,Average Diameter for HDL Particles
OXT,fid_23587,10339,-0.26186313453751614,1.055516284579623e-161,8.815068856646395e-160,-0.28368196702717663,1.31360912428674e-190,1.371707586947267e-188,-,0.26186313453751614,Free Cholesterol to Total Lipids in Very Large VLDL percentage
ACE2,fid_23483,10146,0.26424092582822634,1.0973140030204314e-161,9.163088100921885e-160,0.23773628631894866,2.3424382791344646e-130,1.0754367156926764e-128,+,0.26424092582822634,Phospholipids in Chylomicrons and Extremely Large VLDL
APCS,fid_23641,9838,-0.26819555118615795,1.0994860743642361e-161,9.180172663144417e-160,-0.2778117533639955,8.092782988037098e-174,6.863372132176738e-172,-,0.26819555118615795,Cholesteryl Esters to Total Lipids in Medium HDL percentage
MAMDC4,fid_23486,9877,0.2676723002072764,1.1396474993177317e-161,9.514409503165025e-160,0.25088586925428935,1.2518628459138144e-141,6.789921600364511e-140,+,0.2676723002072764,Free Cholesterol in Chylomicrons and Extremely Large VLDL
HEG1,fid_23578,9676,0.270335112571335,1.1418302236107966e-161,9.531538779217517e-160,0.2655498431988552,7.394748843190787e-156,4.908433986587342e-154,+,0.270335112571335,Triglycerides in Small HDL
