metabolite,metabolite_label,module_protein,k,K,n,p_fisher,q_fisher
fid_23527,Cholesteryl Esters in IDL,3,14,1099,15,1.7483282766229749e-4,3.663164008162424e-4
fid_23528,Free Cholesterol in IDL,3,14,1099,15,1.7483282766229749e-4,3.663164008162424e-4
fid_23546,Phospholipids in Small LDL,3,14,1099,15,1.7483282766229749e-4,3.663164008162424e-4
fid_23450,Docosahexaenoic Acid,3,11,1099,11,2.0847436703470566e-4,4.306512746256831e-4
fid_23466,Leucine,3,11,1099,11,2.0847436703470566e-4,4.306512746256831e-4
fid_23644,Phospholipids to Total Lipids in Small HDL percentage,3,11,1099,11,2.0847436703470566e-4,4.306512746256831e-4
fid_23432,Average Diameter for LDL Particles,3,10,1099,10,4.515987436500181e-4,9.24202080027944e-4
fid_23469,Tyrosine,3,10,1099,10,4.515987436500181e-4,9.24202080027944e-4
fid_23421,Free Cholesterol in LDL,3,12,1099,13,7.181527205411945e-4,0.0014561621983323761
fid_23524,Total Lipids in IDL,3,12,1099,13,7.181527205411945e-4,0.0014561621983323761
fid_23506,Cholesteryl Esters in Medium VLDL,3,11,1099,12,0.001443583318465934,0.0029136544042431692
fid_23465,Isoleucine,3,8,1099,8,0.0021159698077415365,0.004231939615483073
fid_23470,Glucose,3,8,1099,8,0.0021159698077415365,0.004231939615483073
fid_23525,Phospholipids in IDL,3,10,1099,11,0.00288284250980315,0.0057395959471193934
fid_23462,Glycine,3,7,1099,7,0.004576850444950097,0.009071235116117309
fid_23523,Concentration of IDL Particles,3,9,1099,10,0.005713345573333712,0.011272968844245888
fid_23616,Cholesteryl Esters to Total Lipids in Large LDL percentage,3,6,1099,6,0.009894874292238875,0.01934997639371158
fid_23630,Cholesterol to Total Lipids in Very Large HDL percentage,3,6,1099,6,0.009894874292238875,0.01934997639371158
fid_23519,Cholesterol in Very Small VLDL,3,8,1099,9,0.011221540856726712,0.021655605162104182
fid_23520,Cholesteryl Esters in Very Small VLDL,3,8,1099,9,0.011221540856726712,0.021655605162104182
fid_23549,Free Cholesterol in Small LDL,3,8,1099,9,0.011221540856726712,0.021655605162104182
fid_23451,Omega-3 Fatty Acids to Total Fatty Acids percentage,3,5,1099,5,0.021381611359097524,0.04055133188794358
fid_23460,Alanine,3,5,1099,5,0.021381611359097524,0.04055133188794358
fid_23468,Phenylalanine,3,5,1099,5,0.021381611359097524,0.04055133188794358
fid_23619,Phospholipids to Total Lipids in Medium LDL percentage,3,5,1099,5,0.021381611359097524,0.04055133188794358
fid_23474,3-Hydroxybutyrate,3,4,1099,4,0.04618037521850742,0.08683489357326182
fid_23476,Acetoacetate,3,4,1099,4,0.04618037521850742,0.08683489357326182
fid_23471,Lactate,2,5,223,25,0.07897489479887859,0.14786788813407056
