name,type
FYB1,protein
FZD10,protein
FZD8,protein
GABARAP,protein
GABARAPL1,protein
GABRA4,protein
GAD1,protein
GAD2,protein
GADD45B,protein
GADD45GIP1,protein
GAGE2A,protein
GAL,protein
GALNT10,protein
GALNT2,protein
GALNT3,protein
GALNT5,protein
GALNT7,protein
GAMT,protein
GAPDH,protein
GART,protein
GAS2,protein
GAS6,protein
GASK1A,protein
GAST,protein
GATA3,protein
GATD3,protein
GBA,protein
GBP1,protein
GBP2,protein
GBP4,protein
GBP6,protein
GC,protein
GCC1,protein
GCG,protein
GCHFR,protein
GCLM,protein
GCNT1,protein
GDF15,protein
GDF2,protein
GDNF,protein
GET3,protein
GFAP,protein
GFER,protein
GFOD2,protein
GFRA1,protein
GFRA2,protein
GFRA3,protein
GFRAL,protein
GGA1,protein
GGACT,protein
GGCT,protein
GGH,protein
GGT1,protein
GGT5,protein
GH1,protein
GH2,protein
GHR,protein
GHRHR,protein
GHRL,protein
GID8,protein
GIGYF2,protein
GIMAP7,protein
GIMAP8,protein
GIP,protein
GIPC2,protein
GIPC3,protein
GIPR,protein
GIT1,protein
GJA8,protein
GKN1,protein
GLA,protein
GLB1,protein
GLI2,protein
GLO1,protein
GLOD4,protein
GLP1R,protein
GLRX,protein
GLRX5,protein
GLT8D2,protein
GLYR1,protein
GM2A,protein
GMFG,protein
GMPR,protein
GMPR2,protein
GNAS,protein
GNE,protein
GNGT1,protein
GNLY,protein
GNPDA1,protein
GNPDA2,protein
GOLGA3,protein
GOLM2,protein
GOPC,protein
GORASP2,protein
GOT1,protein
GP1BA,protein
GP1BB,protein
GP2,protein
GP5,protein
GP6,protein
GPA33,protein
GPC1,protein
GPC5,protein
GPD1,protein
GPHA2,protein
GPI,protein
GPIHBP1,protein
GPKOW,protein
GPNMB,protein
GPR101,protein
GPR158,protein
GPR15L,protein
GPR37,protein
GPRC5C,protein
GRAP2,protein
GRHPR,protein
GRIK2,protein
GRIN2B,protein
GRK5,protein
GRN,protein
GRP,protein
GRPEL1,protein
GRSF1,protein
GSAP,protein
GSN,protein
GSR,protein
GSTA1,protein
GSTA3,protein
GSTM4,protein
GSTP1,protein
GSTT2B,protein
GTF2IRD1,protein
GTPBP2,protein
GUCA2A,protein
GUCY2C,protein
GUK1,protein
GUSB,protein
GYS1,protein
GZMA,protein
GZMB,protein
GZMH,protein
H2AP,protein
HADH,protein
HAGH,protein
HAO1,protein
HARS1,protein
HAVCR1,protein
HAVCR2,protein
HBEGF,protein
HBQ1,protein
HBZ,protein
HCG22,protein
HCLS1,protein
HDAC8,protein
HDAC9,protein
HDDC2,protein
HDGF,protein
HDGFL2,protein
HEBP1,protein
HEG1,protein
HEPACAM2,protein
HEPH,protein
HEXIM1,protein
HGF,protein
HGFAC,protein
HGS,protein
HHEX,protein
HIF1A,protein
HIP1,protein
HIP1R,protein
HJV,protein
HK2,protein
HLA_A,protein
HLA_DRA,protein
HLA_E,protein
HMBS,protein
HMCN2,protein
HMGCL,protein
HMGCS1,protein
HMMR,protein
HMOX1,protein
HMOX2,protein
HNF1A,protein
HNMT,protein
HNRNPK,protein
HNRNPUL1,protein
HPCAL1,protein
HPGDS,protein
HPSE,protein
HRAS,protein
HRC,protein
HRG,protein
HS1BP3,protein
HS3ST3B1,protein
HS6ST1,protein
HS6ST2,protein
HSBP1,protein
HSD11B1,protein
HSD17B14,protein
HSD17B3,protein
HSDL2,protein
HSP90B1,protein
HSPA1A,protein
HSPA2,protein
HSPB1,protein
HSPB6,protein
HSPG2,protein
HTR1A,protein
HTR1B,protein
