protein,metabolite,r,p,q,r_s,p_s,q_s,sign,abs_r
NPY,fid_23482,0.4248126212489847,0,0,0.45964159289121304,0,0,+,0.4248126212489847
PRAP1,fid_23482,0.43221920032151,0,0,0.45892776326080537,0,0,+,0.43221920032151
ADIPOQ,fid_23426,0.4787321631564355,0,0,0.4902458659812714,0,0,+,0.4787321631564355
APOA1,fid_23426,0.58313275581193,0,0,0.7029483434149857,0,0,+,0.58313275581193
APOC1,fid_23426,0.46315463187305356,0,0,0.5371005048894789,0,0,+,0.46315463187305356
APOM,fid_23426,0.4206260576244857,0,0,0.4216500431782956,0,0,+,0.4206260576244857
CD300LG,fid_23426,0.38738732605516835,0,0,0.388650072893509,0,0,+,0.38738732605516835
CD38,fid_23426,-0.375178324094237,0,0,-0.39353766028671927,0,0,-,0.375178324094237
INSL3,fid_23426,-0.36952085946364116,0,0,-0.3797192754305314,0,0,-,0.36952085946364116
MENT,fid_23426,0.4009297374443175,0,0,0.4150151383135318,0,0,+,0.4009297374443175
MXRA8,fid_23426,0.4567910663407436,0,0,0.4676432167167432,0,0,+,0.4567910663407436
PLTP,fid_23426,0.523148833280795,0,0,0.5396694989661337,0,0,+,0.523148833280795
PON3,fid_23426,0.37561404830631595,0,0,0.42340300694787497,0,0,+,0.37561404830631595
SERPINA6,fid_23426,0.3874968611361369,0,0,0.3892880610677819,0,0,+,0.3874968611361369
SSC4D,fid_23426,-0.4411673324094348,0,0,-0.4553784306754146,0,0,-,0.4411673324094348
APOC1,fid_23524,0.4036678531543864,0,0,0.44889371312817883,0,0,+,0.4036678531543864
APOM,fid_23524,0.43003064153389037,0,0,0.4268303793578642,0,0,+,0.43003064153389037
FGFBP1,fid_23524,0.5241621892488016,0,0,0.5191421568252265,0,0,+,0.5241621892488016
PLA2G7,fid_23524,0.4535012266621721,0,0,0.4533648841464739,0,0,+,0.4535012266621721
APOM,fid_23425,0.4038056766026216,0,0,0.4018446749611847,0,0,+,0.4038056766026216
FGFBP1,fid_23425,0.4680944363223235,0,0,0.46700899364893605,0,0,+,0.4680944363223235
PLA2G7,fid_23425,0.5307551571796923,0,0,0.5414065344803889,0,0,+,0.5307551571796923
ADIPOQ,fid_23559,0.5468717891156687,0,0,0.5686905121482497,0,0,+,0.5468717891156687
APCS,fid_23559,-0.4326589018485537,0,0,-0.4340234678742406,0,0,-,0.4326589018485537
APOA1,fid_23559,0.5053792726102301,0,0,0.6111116331914382,0,0,+,0.5053792726102301
APOC1,fid_23559,0.37964835436626165,0,0,0.43577493930530214,0,0,+,0.37964835436626165
CD300LG,fid_23559,0.4092220783527678,0,0,0.41270246395207544,0,0,+,0.4092220783527678
CD38,fid_23559,-0.4129026841556919,0,0,-0.44807993795768253,0,0,-,0.4129026841556919
CDHR2,fid_23559,-0.39646890728348866,0,0,-0.430502369139085,0,0,-,0.39646890728348866
CLUL1,fid_23559,0.3897542815743025,0,0,0.40571327300101756,0,0,+,0.3897542815743025
EPHA1,fid_23559,-0.39335097864915586,0,0,-0.40643090389271885,0,0,-,0.39335097864915586
IGFBP1,fid_23559,0.37413334584936325,0,0,0.3899712930726553,0,0,+,0.37413334584936325
INSL3,fid_23559,-0.38592383384174167,0,0,-0.40750830388761095,0,0,-,0.38592383384174167
LDLR,fid_23559,-0.3910460041721307,0,0,-0.3936083802232775,0,0,-,0.3910460041721307
LPL,fid_23559,0.4331340429336844,0,0,0.4643581082508265,0,0,+,0.4331340429336844
MENT,fid_23559,0.3743788194240237,0,0,0.40643786651760544,0,0,+,0.3743788194240237
MXRA8,fid_23559,0.5179757945632109,0,0,0.5386165933560768,0,0,+,0.5179757945632109
PLTP,fid_23559,0.5904749920268259,0,0,0.6260131908668188,0,0,+,0.5904749920268259
PON3,fid_23559,0.43549685438893565,0,0,0.504089167874347,0,0,+,0.43549685438893565
PRAP1,fid_23559,-0.40470578155326303,0,0,-0.42399752350451553,0,0,-,0.40470578155326303
PSPN,fid_23559,-0.38685810655442937,0,0,-0.42007983773125046,0,0,-,0.38685810655442937
RTN4R,fid_23559,-0.3998915550432707,0,0,-0.42893371816493786,0,0,-,0.3998915550432707
SERPINF1,fid_23559,-0.36829632009300395,0,0,-0.38677886403471423,0,0,-,0.36829632009300395
SHBG,fid_23559,0.4323629599307082,0,0,0.4564440030030223,0,0,+,0.4323629599307082
SPINT3,fid_23559,-0.3785793435610159,0,0,-0.4026584262735347,0,0,-,0.3785793435610159
SSC4D,fid_23559,-0.4916761414647796,0,0,-0.5313969126364418,0,0,-,0.4916761414647796
APOM,fid_23531,0.42879080344193143,0,0,0.4277798178970435,0,0,+,0.42879080344193143
FGFBP1,fid_23531,0.4901556951122788,0,0,0.48732623690383775,0,0,+,0.4901556951122788
PLA2G7,fid_23531,0.5023324631079542,0,0,0.5103624048404322,0,0,+,0.5023324631079542
ADH4,fid_23496,0.37098579891852157,0,0,0.37864031085615046,0,0,+,0.37098579891852157
ADIPOQ,fid_23496,-0.36920404355410097,0,0,-0.3883721568122259,0,0,-,0.36920404355410097
AGRP,fid_23496,0.4438327408752605,0,0,0.45242074322672116,0,0,+,0.4438327408752605
APCS,fid_23496,0.38431864279487654,0,0,0.3991277163313828,0,0,+,0.38431864279487654
CCN1,fid_23496,0.3841216302771934,0,0,0.38315593197534464,0,0,+,0.3841216302771934
CES1,fid_23496,0.3810091573100487,0,0,0.3912378666827621,0,0,+,0.3810091573100487
GHR,fid_23496,0.3694227638950558,0,0,0.37691302214333255,0,0,+,0.3694227638950558
IGSF9,fid_23496,0.38735129068811297,0,0,0.39839392508286753,0,0,+,0.38735129068811297
LCAT,fid_23496,0.3795826664853052,0,0,0.39314977127861783,0,0,+,0.3795826664853052
LDLR,fid_23496,0.6503033558407317,0,0,0.6691427711223646,0,0,+,0.6503033558407317
LPL,fid_23496,-0.37326134914073567,0,0,-0.39467054290251985,0,0,-,0.37326134914073567
MFGE8,fid_23496,0.44300764285126476,0,0,0.42760864052840875,0,0,+,0.44300764285126476
NPY,fid_23496,0.44595253292857656,0,0,0.4614760882418366,0,0,+,0.44595253292857656
PLA2G7,fid_23496,0.37368017097061473,0,0,0.38749001517035314,0,0,+,0.37368017097061473
PRAP1,fid_23496,0.40372707619178416,0,0,0.41893210141277665,0,0,+,0.40372707619178416
APOC1,fid_23423,0.442463305668377,0,0,0.5014183041695637,0,0,+,0.442463305668377
APOM,fid_23423,0.4425520138500848,0,0,0.45038261443053135,0,0,+,0.4425520138500848
FGFBP1,fid_23423,0.4016791935177784,0,0,0.4102544431432312,0,0,+,0.4016791935177784
LDLR,fid_23423,0.4200914609066163,0,0,0.4183034907473219,0,0,+,0.4200914609066163
PLA2G7,fid_23423,0.412677591066407,0,0,0.41277603585501094,0,0,+,0.412677591066407
PROC,fid_23423,0.369952810403404,0,0,0.3715123609722796,0,0,+,0.369952810403404
ADIPOQ,fid_23566,0.38935870207740025,0,0,0.400625263628351,0,0,+,0.38935870207740025
APOA1,fid_23566,0.5626938836810444,0,0,0.6786834677168411,0,0,+,0.5626938836810444
APOC1,fid_23566,0.4319054259497041,0,0,0.5042693567617558,0,0,+,0.4319054259497041
APOM,fid_23566,0.3876694276626922,0,0,0.3917635850945263,0,0,+,0.3876694276626922
MENT,fid_23566,0.3729254648389677,0,0,0.38044166353804687,0,0,+,0.3729254648389677
