name,type,display_label,degree,strength,module_louvain,module_walktrap
SERPINB6,protein,SERPINB6,2,0.47784505250776865,5,2
IL17RB,protein,IL17RB,25,5.50833529218789,4,3
CLEC4G,protein,CLEC4G,1,0.26857614805505814,5,3
MPIG6B,protein,MPIG6B,2,0.47943863008008925,5,2
ICAM1,protein,ICAM1,6,1.319483477179745,6,3
ANG,protein,ANG,5,1.116912556089193,6,3
CA5A,protein,CA5A,25,5.999414576923834,6,3
ANXA4,protein,ANXA4,1,0.26937161071900734,5,2
SERPINF2,protein,SERPINF2,48,11.547657948836846,1,3
MSRA,protein,MSRA,2,0.4975614585397349,5,2
TBCC,protein,TBCC,2,0.48754176955245954,5,2
NECTIN2,protein,NECTIN2,7,1.6760496423735491,6,3
NUMB,protein,NUMB,25,6.168298861063365,2,3
CA6,protein,CA6,25,5.903235847347975,3,3
PPP1R12A,protein,PPP1R12A,2,0.48413655797705774,5,2
LGALS8,protein,LGALS8,2,0.48927942091541055,5,2
TNFRSF1B,protein,TNFRSF1B,21,4.437357906634608,3,3
DCXR,protein,DCXR,25,6.104127242866063,2,3
IGF2R,protein,IGF2R,25,5.7926391523175536,2,3
VTA1,protein,VTA1,1,0.2648341349361879,5,2
YES1,protein,YES1,25,5.283314514073818,2,3
IPCEF1,protein,IPCEF1,25,5.423117244142481,2,3
NT5C1A,protein,NT5C1A,25,5.509649845929421,2,3
CDH3,protein,CDH3,1,0.2698508272683395,6,1
ESAM,protein,ESAM,2,0.4642393804137046,6,1
PLAUR,protein,PLAUR,8,1.8089425694916703,6,3
POLR2F,protein,POLR2F,14,3.117401599779889,6,3
AK2,protein,AK2,2,0.4710382693764732,5,2
CD74,protein,CD74,25,5.627330718055574,6,3
ATRN,protein,ATRN,31,7.780881770509108,2,3
SCPEP1,protein,SCPEP1,9,2.003355070172452,6,3
CNDP1,protein,CNDP1,11,2.5280289519037806,1,3
SNCA,protein,SNCA,25,6.559709342783642,2,3
MESD,protein,MESD,2,0.4981213768264827,5,2
NRGN,protein,NRGN,2,0.4794420156704702,5,2
SPINT2,protein,SPINT2,1,0.26374524646722436,5,2
CMC1,protein,CMC1,2,0.5130059903698002,5,2
ECHS1,protein,ECHS1,2,0.4773898479790789,5,2
CD14,protein,CD14,1,0.2673183653271456,5,3
CTSZ,protein,CTSZ,16,3.6354041266287958,6,3
DNAJB14,protein,DNAJB14,2,0.4952997057583166,5,2
SIGLEC7,protein,SIGLEC7,25,5.848877758421845,6,3
ULBP2,protein,ULBP2,3,0.6921564977407534,6,1
CXCL16,protein,CXCL16,1,0.2622458826669809,5,3
DDAH1,protein,DDAH1,25,5.5905745656798045,2,3
PDAP1,protein,PDAP1,2,0.48025378454282397,5,2
SERPINB1,protein,SERPINB1,2,0.46612180034708606,5,2
PLXNB3,protein,PLXNB3,2,0.49385309141625844,5,2
LYN,protein,LYN,2,0.4969563743834365,5,2
HEG1,protein,HEG1,25,6.379550461971231,2,3
NUDT5,protein,NUDT5,2,0.4865901041270042,5,2
ABL1,protein,ABL1,18,3.82284687838846,2,3
DNAJA2,protein,DNAJA2,2,0.4703227386110244,5,3
GRHPR,protein,GRHPR,5,1.0830615327874298,5,3
FGFBP3,protein,FGFBP3,53,12.599253856099894,1,3
PLIN1,protein,PLIN1,25,6.045917362430981,2,3
HAVCR2,protein,HAVCR2,24,5.1549527726808035,3,3
HAO1,protein,HAO1,25,5.808124456437312,2,3
CEP20,protein,CEP20,15,3.1866093676385407,2,3
LECT2,protein,LECT2,25,6.1423751762493,2,3
CCN5,protein,CCN5,1,0.2663409948732378,6,1
SCAMP3,protein,SCAMP3,3,0.6949059373505344,5,3
NUDT16,protein,NUDT16,2,0.4993496206447602,5,2
PPIB,protein,PPIB,2,0.5011474648422821,5,2
COL4A1,protein,COL4A1,25,5.80505062654369,1,3
DFFA,protein,DFFA,1,0.2591656579605099,5,2
KDR,protein,KDR,25,6.099199781380496,2,3
NCS1,protein,NCS1,25,5.346943256689584,2,3
ITGA11,protein,ITGA11,25,6.0229359221457415,3,3
CNPY4,protein,CNPY4,2,0.4830660950303165,5,2
TXLNA,protein,TXLNA,10,2.1612330353182587,2,3
SNAPIN,protein,SNAPIN,25,5.992002432784809,2,3
CD99,protein,CD99,1,0.26522101214821586,6,1
LGALS3,protein,LGALS3,1,0.259812575208122,5,3
