protein,module_protein,ENTREZID
GGT1,3,2678
GHR,3,2690
GIT1,1,28964
GLA,3,2717
ARHGEF5,3,7984
ATP6V1D,3,51382
B3GNT7,3,93010
CDH4,3,1002
CDK1,3,983
CEND1,3,51286
CLSPN,3,63967
CSH1,3,1442
DBH,3,1621
ENPP5,3,59084
ENTPD6,3,955
EPHX2,3,2053
EXOSC10,3,5394
FABP9,3,646480
FCRL6,3,343413
FGFBP2,3,83888
GALNT5,3,11227
GLB1,1,2720
GLO1,2,2739
CD3D,4,915
GLOD4,2,51031
GGA1,4,26088
GFRA1,3,2674
GLRX5,1,51218
GLRX,2,2745
GMFG,1,9535
GET3,2,439
GMPR,2,2766
GMPR2,1,51292
GNAS,1,2778
GNE,1,10020
GNPDA2,1,132789
GGH,3,8836
GOLGA3,1,2802
GOPC,1,57120
GORASP2,1,26003
GLIPR1,3,11010
GP1BA,1,2811
CTRL,5,1506
CUZD1,5,50624
GP1BB,1,2812
GP5,1,2814
GFRA3,3,2676
GP6,1,51206
CES3,3,23491
GOT1,3,2805
GPC5,1,2262
GLP1R,4,2740
GPHA2,4,170589
GPI,1,2821
GRAP2,1,9402
GRHPR,1,9380
GOLM2,3,113201
GALNT10,3,55568
GPD1,3,2819
GPRC5C,3,55890
GRK5,1,2869
GRPEL1,3,80273
GPC1,3,2817
GSN,3,2934
GSTA1,3,2938
GRSF1,1,2926
GSR,2,2936
GSTT2B,1,653689
CALY,4,50632
ERN1,3,2081
GSTA3,3,2940
GTPBP2,1,54676
GCNT1,3,2650
GNLY,3,10578
GZMA,3,3001
GZMB,3,3002
GIPC2,2,54810
GNPDA1,2,10007
GSTP1,1,2950
GYS1,1,2997
GM2A,3,2760
GRN,3,2896
HARS1,1,3035
HAGH,2,3029
HBQ1,2,3049
HBEGF,1,1839
GLI2,4,2736
HCLS1,1,3059
HDDC2,2,51020
GPKOW,2,27238
HDGF,2,3068
HEG1,3,57493
HDGFL2,2,84717
CST7,3,8530
CXCL13,3,10563
FCAR,3,2204
FCN1,3,2219
GUSB,3,2990
HAVCR2,3,84868
HEXIM1,1,10614
HGF,3,3082
HGS,1,9146
HHEX,1,3087
GPR37,3,2861
HLA_A,3,NA
HAO1,3,54363
HMGCL,1,3155
HIP1R,2,9026
HMOX2,3,3163
DHPS,2,1725
HNRNPK,1,3190
HNRNPUL1,2,11100
HPCAL1,1,3241
HPSE,1,10855
HS1BP3,1,64342
HSBP1,1,3281
HSD17B3,1,3293
HSDL2,1,84263
HSPA1A,1,3303
HNMT,3,3176
FGF23,3,8074
GUCA2A,3,2980
HLA_E,3,NA
HSPB6,3,126393
CTNNA1,4,1495
ECSCR,4,641700
HSPB1,1,3315
HSPG2,3,3339
HTRA2,1,27429
HYAL1,3,3373
FCRL5,3,83416
ICAM1,3,3383
ICAM2,3,3384
GALNT7,3,51809
CLC,2,1178
IDO1,3,3620
ICA1,1,3382
GFRA2,3,2675
GPNMB,3,10457
HS6ST2,3,90161
HYOU1,3,10525
ICOSLG,3,23308
GPR158,4,57512
GLYR1,4,84656
IFIT3,1,3437
HSPA2,2,3306
IFT20,1,90410
DPEP2,3,64174
FLT1,3,2321
IFNGR1,3,3459
FST,3,10468
HSD11B1,3,3290
IGFBP1,3,3484
CYTL1,3,54360
